origin,destination,landing_data,takeoff_data
CYYZ,SBGR,14/01/2023 09:30,14/01/2023 09:30
SBGR,CYYZ,14/01/2023 07:45,14/01/2023 07:45
SBGR,SAEZ,13/01/2023 14:20,13/01/2023 14:20
CYUL,SBGR,14/01/2023 09:25,14/01/2023 09:25
SAEZ,SBGR,13/01/2023 19:15,13/01/2023 19:15
SBGR,CYUL,15/01/2023 08:10,15/01/2023 08:10
CYYZ,SBGR,15/01/2023 09:30,15/01/2023 09:30
SBGR,CYYZ,15/01/2023 07:45,15/01/2023 07:45
CYUL,SBGR,15/01/2023 09:25,15/01/2023 09:25
SBGR,SAEZ,14/01/2023 14:20,14/01/2023 14:20
SBGR,CYUL,16/01/2023 08:10,16/01/2023 08:10
SAEZ,SBGR,14/01/2023 19:15,14/01/2023 19:15
CYYZ,SBGR,16/01/2023 09:30,16/01/2023 09:30
SBGR,CYYZ,16/01/2023 07:45,16/01/2023 07:45
SBGR,SAEZ,15/01/2023 14:20,15/01/2023 14:20
CYUL,SBGR,16/01/2023 09:25,16/01/2023 09:25
SBGR,CYUL,17/01/2023 08:10,17/01/2023 08:10
SAEZ,SBGR,15/01/2023 19:15,15/01/2023 19:15
CYYZ,SBGR,17/01/2023 09:30,17/01/2023 09:30
SBGR,CYYZ,17/01/2023 07:45,17/01/2023 07:45
SBGR,SAEZ,16/01/2023 14:20,16/01/2023 14:20
CYUL,SBGR,17/01/2023 09:25,17/01/2023 09:25
SAEZ,SBGR,16/01/2023 19:15,16/01/2023 19:15
SBGR,CYUL,18/01/2023 08:10,18/01/2023 08:10
CYYZ,SBGR,18/01/2023 09:30,18/01/2023 09:30
SBGR,CYYZ,18/01/2023 07:45,18/01/2023 07:45
CYUL,SBGR,18/01/2023 09:25,18/01/2023 09:25
SBGR,SAEZ,17/01/2023 14:20,17/01/2023 14:20
SBGR,CYUL,19/01/2023 08:10,19/01/2023 08:10
SAEZ,SBGR,17/01/2023 19:15,17/01/2023 19:15
CYYZ,SBGR,19/01/2023 09:30,19/01/2023 09:30
SBGR,CYYZ,19/01/2023 07:45,19/01/2023 07:45
SBGR,SAEZ,18/01/2023 14:20,18/01/2023 14:20
SAEZ,SBGR,18/01/2023 19:15,18/01/2023 19:15
CYYZ,SBGR,20/01/2023 09:30,20/01/2023 09:30
SBGR,CYYZ,20/01/2023 07:45,20/01/2023 07:45
CYUL,SBGR,20/01/2023 09:25,20/01/2023 09:25
SBGR,CYUL,21/01/2023 08:10,21/01/2023 08:10
CYYZ,SBGR,21/01/2023 09:30,21/01/2023 09:30
SBGR,CYYZ,21/01/2023 07:45,21/01/2023 07:45
SBGR,SAEZ,20/01/2023 14:20,20/01/2023 14:20
CYUL,SBGR,21/01/2023 09:25,21/01/2023 09:25
SAEZ,SBGR,20/01/2023 19:15,20/01/2023 19:15
SBGR,CYUL,22/01/2023 08:10,22/01/2023 08:10
CYYZ,SBGR,22/01/2023 09:30,22/01/2023 09:30
SBGR,CYYZ,22/01/2023 07:45,22/01/2023 07:45
CYUL,SBGR,22/01/2023 09:25,22/01/2023 09:25
SBGR,SAEZ,21/01/2023 14:20,21/01/2023 14:20
